"STREET NAME";"STREET NAME 1ST PART";"STREET NAME 2ND PART";"TOWN IF NOT GLASGOW";"ALTERNATIVE SPELLING";"DIRECTORY START scan 585";"DIRECTORY END scan 789"
"Breadalbane Place";"Breadalbane ";"Place";"Strathbungo";;;
"Breadalbane Street";"Breadalbane ";"Street";;;;
"Breadalbane Terrace";"Breadalbane ";"Terrace";"Garnethill";;;
"Bridge Street";"Bridge";"Street";"Glasgow, Partick";"east, west";;
"Bridgegate";"Bridgegate";;;;;
"Bridgeton Cross";"Bridgeton";"Cross";;"south, north";;
"Bright Street";"Bright";"Street";;;;
"Broad Street";"Broad";"Street";;;;
"Brooielaw";"Broomielaw";;;;;
"Brook Street";"Brook";"Street";;;;
"Broomhall Street";"Broomhall";"Street";"Kinning Park";;;
"Broomhill Avenue";"Broomhill ";"Avenue";"Partick";;;
"Broomhill Drive";"Broomhill ";"Drive";"Partick";;;
"Broomhill Street";"Broomhill ";"Street";;;;
"Broomhill Terrace";"Broomhill ";"Terrace";"(West) Partick";;;
"Broompark Circus";"Broompark";"Circus";;;;
"Broompark Drive";"Broompark";"Drive";;;;
"Broompark Terrace";"Broompark";"Terrace";;;;
"Brougham Terrace";"Brougham";"Terrace";"Crosshill";;;
"Brown Street";"Brown";"Street";"Bridgeton, Broomielaw, Port Dundas";;;
"Bruce Road";"Bruce";"Road";"Pollockshields";;;
"Bruce Street";"Bruce";"Street";"Hillhead";;;
"Brunswick Lane";"Brunswick";"Lane";;;;
"Brunswick Street";"Brunswick";"Street";;;;
"Buccleuch Lane";"Buccleuch";"Lane";;;;
"Buccleuch Street";"Buccleuch";"Street";;;;
"Buchan Street";"Buchan";"Street";;;;
"Buchanan Street";"Buchanan";"Street";;;;
"Buckingham Buildings";"Buckingham";"Buildings";"Hillhead";;;
"Buckingham Street";"Buckingham";"Street";"Hillhead";;;
"Buckingham Terrace";"Buckingham";"Terrace";"Hillhead, Partick";;;
"Burnbank";"Burnbank";;;;;
"Burnbank Gardens";"Burnbank";"Gardens";;;;
"Burnbank Place";"Burnbank";"Place";;;;
"Burnbank Terrace";"Burnbank";"Terrace";;;;
"Burnside Street";"Burnside";"Street";;;;
"Burrell's Lane";"Burrel's ";"Lane";;;;
"Bute Terrace";"Bute";"Terrace";;;;
"Byars' Road";"Byars'";"Road";"Partick, Kelvinside";;;
"Cadogan Street";"Cadogan";"Street";;;;
"Calder Street";;;"Govanhill";;;
"Calter Terrace";;;"Langside";;;
"Calderwood Street";;;;;;
"Caledonian Road";;;;;;
"Callander Place";;;"Govanhill";;;
"Cambridge Drive";;;"Kelvinside";;;
"Cambridge Street";;;;"east, west";;
"Camden Place";;;;;;
"Camden Street";;;;;;
"Cameron Street";;;;;;
"Campbell Street";;;;"east, west";;
"Campbellfield Street";;;;;;
"Camperdown Street";;;;;;
"Camphill Avenue";;;"Langside";;;
"Camphill Quadrant";;;"Langside";;;
"Campside Crescent";;;"Langside";;;
"Camvale Buildings";;;"Crossmyloof";;;
"Canal Street";;;"Port Dundas, Port Eglinton";;;
"Canal Bank Street";;;"Port Dundas";;;
"Candleriggs";"Candleriggs";;;;;
"Cammomg Place";;;;;;
"Canning Street";;;;"south, north";;
